id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,result
1.19E+18,1.19E+18,1.57E+12,10/26/19,13:37:41,EDT,24596560,samantha412,sam,,We need to be into Vegas by tonight. This is my first time flying #JetBlue and it’s pretty outrageous.,['jetblue'],[],[],1,0,0,['#jetblue'],[],https://twitter.com/samantha412/status/1188147701382287361,FALSE,,0,,,,,,,"[{'user_id': '24596560', 'username': 'samantha412'}, {'user_id': '6449282', 'username': 'JetBlue'}]",,
1.19E+18,1.19E+18,1.57E+12,10/26/19,13:20:07,EDT,208208036,ericelander,Eric Elander,,"@Delta, @AmericanAir any chance you can hook up a once loyal @JetBlue customer and get me in Vegas on time for my next meeting?  Already missed my first one...  #ComeStealMeAway #JetBlue #jetbluedelays","['delta', 'americanair', 'jetblue']",[],[],1,0,0,"['#comestealmeaway', '#jetblue', '#jetbluedelays']",[],https://twitter.com/EricElander/status/1188143279495364609,FALSE,,0,,,,,,,"[{'user_id': '208208036', 'username': 'EricElander'}, {'user_id': '5920532', 'username': 'Delta'}, {'user_id': '22536055', 'username': 'AmericanAir'}, {'user_id': '6449282', 'username': 'JetBlue'}]",,
1.19E+18,1.19E+18,1.57E+12,10/25/19,14:00:53,EDT,7.87E+17,sirflorianj,Florian Mbappé 🇨🇲,,"A former #JetBlue employee scammed the airline out of $785,000. Now she faces prison time.  https://www.washingtonpost.com/travel/2019/10/22/former-jetblue-employee-scammed-airline-out-now-she-faces-prison-time/ …",[],['https://www.washingtonpost.com/travel/2019/10/22/former-jetblue-employee-scammed-airline-out-now-she-faces-prison-time/'],[],0,0,0,['#jetblue'],[],https://twitter.com/SirFlorianJ/status/1187791153229369345,FALSE,,0,,,,,,,"[{'user_id': '787448975691579392', 'username': 'SirFlorianJ'}]",,
1.19E+18,1.19E+18,1.57E+12,10/25/19,6:26:59,EDT,602477951,vic1028,Vic,,It’s time to go #home 🙂#blessed #jetblue  https://www.instagram.com/p/B4Cay9Xg9Sl-U4rq1UNq2jld0CO4oTPWY8M5I40/?igshid=zwxjor0ag51y …,[],['https://www.instagram.com/p/B4Cay9Xg9Sl-U4rq1UNq2jld0CO4oTPWY8M5I40/?igshid=zwxjor0ag51y'],[],0,0,0,"['#home', '#blessed', '#jetblue']",[],https://twitter.com/Vic1028/status/1187676925268938752,FALSE,,0,,,,,,,"[{'user_id': '602477951', 'username': 'Vic1028'}]",,
1.19E+18,1.19E+18,1.57E+12,10/24/19,8:23:35,EDT,24926514,donnamalzoneday,Donna Malzone Day,,Awful experience at BNA #jetblue.  One ticket representative who disappeared and came back. Then we got pushed aside only to have people cut in front of us. Then he couldn’t print out baggage tickets. Next time I am taking #Delta,[],[],[],0,0,0,"['#jetblue', '#delta']",[],https://twitter.com/DonnaMalzoneDay/status/1187343878527111168,FALSE,,0,,,,,,,"[{'user_id': '24926514', 'username': 'DonnaMalzoneDay'}]",,
1.19E+18,1.19E+18,1.57E+12,10/24/19,1:05:30,EDT,69185350,sacreole,RangerRick ن,,Gate Agent Facing Jail Time for Flight Upgrade Scam  https://www.travelpulse.com/news/airlines/gate-agent-facing-jail-time-for-flight-upgrade-scam.html#.XbExBkrhJ4g.twitter … via @TravelPulse #JetBlue,['travelpulse'],['https://www.travelpulse.com/news/airlines/gate-agent-facing-jail-time-for-flight-upgrade-scam.html#.XbExBkrhJ4g.twitter'],[],0,0,1,['#jetblue'],[],https://twitter.com/sacreole/status/1187233631657349120,FALSE,,0,,,,,,,"[{'user_id': '69185350', 'username': 'sacreole'}, {'user_id': '87899852', 'username': 'TravelPulse'}]",,
1.19E+18,1.19E+18,1.57E+12,10/22/19,16:28:03,EDT,9.03E+17,boulevardsandby,Boulevardsandbyways,,"I miss this island. Flew from San Juan Puerto Rico to Hartford, CT on my favorite carrier, @jetblue  Easy boarding, on-time, plenty of legroom. #every-time #jetblue #flight #puertorico #aviationlovers #airplane #pr…  https://www.instagram.com/p/B37xMRAh81A/?igshid=175tfdpez404r …",['jetblue'],['https://www.instagram.com/p/B37xMRAh81A/?igshid=175tfdpez404r'],[],0,0,2,"['#every', '#jetblue', '#flight', '#puertorico', '#aviationlovers', '#airplane', '#pr']",[],https://twitter.com/Boulevardsandby/status/1186741023483060226,FALSE,,0,,,,,,,"[{'user_id': '902885888488873984', 'username': 'Boulevardsandby'}, {'user_id': '6449282', 'username': 'JetBlue'}]",,
1.19E+18,1.19E+18,1.57E+12,10/21/19,16:22:24,EDT,1.02E+18,tailsbywindy,Mickey Tails by Windy,,"Shoutout to #jetblue flight 337! This crew was awesome, interactive, and efficient. First time flying JetBlue and I can’t wait to fly with them again. Excellent experience, would recommend",[],[],[],0,0,0,['#jetblue'],[],https://twitter.com/tailsbywindy/status/1186377215812030464,FALSE,,0,,,,,,,"[{'user_id': '1024050687469072384', 'username': 'tailsbywindy'}]",,
1.19E+18,1.11E+18,1.57E+12,10/21/19,11:21:29,EDT,1.09E+18,bostonurse37,🌹,,"Did they resolve your issue. I specifically asked as security at Logan was huge. Directed by #jetblue staff to the general security line, not able to use even more speed even though it was open the whole time.","['x3samanthamarie', 'jetblue']",[],[],1,0,0,['#jetblue'],[],https://twitter.com/bostonurse37/status/1186301487414202369,FALSE,,0,,,,,,,"[{'user_id': '1093185794016141312', 'username': 'bostonurse37'}, {'user_id': '43005095', 'username': 'x3samanthamarie'}, {'user_id': '6449282', 'username': 'JetBlue'}]",,
1.19E+18,1.19E+18,1.57E+12,10/20/19,0:29:16,EDT,9.10E+17,nysleeveddiva,NYSleevedDiva,,The Collados are back in NYC. I want to take this time to give a huge thanks to #JetBlue flight 1304 from San Juan to NYC for taking the time to ease my anxiety and fears of flying and getting my husband and I as well as all the other passengers home safely.,[],[],[],1,0,0,['#jetblue'],[],https://twitter.com/NySleevedDiva/status/1185774962851962880,FALSE,,0,,,,,,,"[{'user_id': '909877636595437569', 'username': 'NySleevedDiva'}]",,
1.19E+18,1.19E+18,1.57E+12,10/19/19,18:27:49,EDT,2954214742,tomcnh,TomCNH - Make America Care Again,,First time on Jet Blue. 2 1/2 hour delay to board for mechanical issues.  Nice first impression. Not. #jetblue #badfirstimpression,[],[],[],1,1,1,"['#jetblue', '#badfirstimpression']",[],https://twitter.com/TomCNH/status/1185684001039761409,FALSE,,0,,,,,,,"[{'user_id': '2954214742', 'username': 'TomCNH'}]",,
1.19E+18,1.19E+18,1.57E+12,10/19/19,10:36:09,EDT,29576363,kegs279,Karen,,@JetBlue - what’s the point of your text feature if it just directs me to #JetBlue customer care where I should have waited the 19 min on hold for an itinerary your airline changed for Nov?!?!??? #airlines are all the same. My wait time is now 21 min. Ugh #TRUEBLUE means nothing,['jetblue'],[],[],0,0,0,"['#jetblue', '#airlines', '#trueblue']",[],https://twitter.com/kegs279/status/1185565301200556032,FALSE,,0,,,,,,,"[{'user_id': '29576363', 'username': 'kegs279'}, {'user_id': '6449282', 'username': 'JetBlue'}]",,
1.19E+18,1.19E+18,1.57E+12,10/19/19,6:52:38,EDT,4731908482,bulletproof1906,Chris Heaggans,,#jetblue @JetBlue is literally the worse flying experience you could ever imagine .. Will not waste my time again,['jetblue'],[],[],0,0,0,['#jetblue'],[],https://twitter.com/bulletproof1906/status/1185509054237630464,FALSE,,0,,,,,,,"[{'user_id': '4731908482', 'username': 'bulletproof1906'}, {'user_id': '6449282', 'username': 'JetBlue'}]",,
1.19E+18,1.19E+18,1.57E+12,10/18/19,20:55:33,EDT,279712739,zdangerman,ZDangerMan,,Looking at @Jetblue to make this right big time. Stuck at an airport for a 40+ hour delay due to maintenance issues is unacceptable. Your move #jetblue,['jetblue'],[],[],0,0,0,['#jetblue'],[],https://twitter.com/ZDangerMan/status/1185358791749050374,FALSE,,0,,,,,,,"[{'user_id': '279712739', 'username': 'ZDangerMan'}, {'user_id': '6449282', 'username': 'JetBlue'}]",,
1.19E+18,1.19E+18,1.57E+12,10/18/19,7:59:23,EDT,15398865,patrick4009,realpatrickmurphy,,@JetBlue on time?  It’s already a day late because of weather and now it’s delayed until 10am when it was scheduled to depart at 7am.    How is that on time?!!  #jetblue  https://twitter.com/JetBlue/status/1185161116651020288 …,['jetblue'],['https://twitter.com/JetBlue/status/1185161116651020288'],[],1,0,0,['#jetblue'],[],https://twitter.com/patrick4009/status/1185163461447372800,FALSE,https://twitter.com/JetBlue/status/1185161116651020288,0,,,,,,,"[{'user_id': '15398865', 'username': 'patrick4009'}, {'user_id': '6449282', 'username': 'JetBlue'}]",,
1.19E+18,1.19E+18,1.57E+12,10/18/19,3:25:05,EDT,7.26E+17,tommy_mac89,tommy mac foto,,"Dear #jetblue @JetBlue tell your Indian customer service phone operators they suck!! I waited 25 mins or more for just to get hung up on for a problem i didn’t even begin to explain. Thanks for wasting my time Aholes
@JetBlueCheeps","['jetblue', 'jetbluecheeps']",[],[],0,0,0,['#jetblue'],[],https://twitter.com/tommy_mac89/status/1185094431692804097,FALSE,,0,,,,,,,"[{'user_id': '725767992793919490', 'username': 'tommy_mac89'}, {'user_id': '6449282', 'username': 'JetBlue'}, {'user_id': '14226495', 'username': 'JetBlueCheeps'}]",,
1.19E+18,1.19E+18,1.57E+12,10/17/19,21:57:07,EDT,102546434,snowmanballa,Jude Franchise,,#JetBlue thanks for screwing my weekend plans with canceling all flights out of JFK for weather!! Forecast tomorrow is 60 & sunny! But somehow flights out of LGA five miles away from JFK are all on time! Makes no sense! Horrible customer service!!,[],[],[],1,0,1,['#jetblue'],[],https://twitter.com/snowmanballa/status/1185011897747300358,FALSE,,0,,,,,,,"[{'user_id': '102546434', 'username': 'snowmanballa'}]",,
